RefID, ClusterID
A904697, A904697, A GARFIO 1305 NORTH FOYD STR LOT 10 JONESBORO Y AR 72401 22542011
A904735, A904735, JOHN A ANDERSNO 9076 BRIDALVEIL CIR STOCKTON CA 95212
A904739, A904739, L LANTRIP 6417 KENNEDY CT WATAUGA TX 76148O 25579615 45372
A904758, A904758, JOYEC M PALLETT 1857 W 24TH ST APT 1 LOS ANGELES CA 90018 012 68 7271 1961
A904811, A904811, MARAI J LOPEZ 40850 CORTE LBOS REYES INDIO CA 92203 25213528
A904838, A904838, ALBERTO MALKIEWICZ 1124 SOUTHWEST 2ND AV POMPANO BEACH FLORIDA 3306E0 27111743 20999
A904861, A904861, J D ANTHONY 2320 JARDIN DR OXNARD CASLI 93036 24370640
A904877, A904877, RODNEY M BRACKLE 1559 ROCDKWOOD STRT LOS ANGELES CA 90026 PO BOX 881605 LOS ANGELES CA 90009 22345095
A904913, A904913, J C WHITE 235 HEMPSTEAD 125 HOP AR 71801 021 25 8240 20398
A905010, A905010, HOPE Z COOLING 2731 ERS LANE MISSOURI CITY TEXAS 77459 026 12 5060 37882
A905041, A905041, CARLDREK M CHAVEZ 16060 SW INDIANWOOD CIR INDIANTOWN FL 34956 PO BOX 2051 INDIANTOWN FL 34956 023 28 5418
A905153, A905153, CRUZ S 3660 N 56TH AVE APT604 HOLLYWOOD FL 33021 PO BOX 817432 HOLLYWOOD FL 33081 22075433 38106
A905307, A905307, ANASTACIO J WALSH 1050 ILSHIRE BOULV APT 210 LOS ANGELE CA 90017 BUZON 881605 LOS ANGELES CA 90009 27047559
A905320, A905320, HOPE Z COOLING 14325 CEDAR POOST DR HASLET TEXAS 76052 26125006 37882
A905465, A905465, SHAID MARTINEZ RUIZ 11029 VANESSA AVE ENGLEWOOD FL 34224 024 77 0844 1929
A905488, A905488, NILESH F MCKELVEY 529 DANIELS ST WOODLAND CA 95695 024 71 4029
A905547, A905547, DUANE VALENTINE 2000 CLUB VIEW CIR CORINTH TEXAS 76210 23312087 1935
A905562, A905562, CHRISTINA ROJAS 1730 S CONLON AVE WEST CVINA CA 91790 24136883
A905577, A905577, GLEN K JANISCH 5204 SWAPS CT BAKERSFIELD CALIF 93312 PO BOX 60103 BAKERSFIELD CA 93386 28559531 1949
A905600, A905600, MICHAEL L WYNN 210G6 PINETREE CT RANCHO CORDOVA CA 95670 021 77 7345 39159
A905663, A905663, ALICHA K SNEED 7485 WREN AVE GILROY CA 95020 024 04 7556
A905693, A905693, MELONY R GREGORY 3731 ROCKY WOODS DRJ KINGWOOD TX 77339 26394931 1930
A905748, A905748, CHRISTINE M BROWN 14092 POLLARD DRI LYTLE CREEK CA 92358 23805088
A905773, A905773, M FRESE 7724 PARKLAND DRV EL PASO TX 79925 POST BOX 27096 EL PASO TX 79926
A905796, A905796, MARISELA J JOHNSON 2350 KENDAL GREEN JCIRC COLLEGE TATION TEXAS 77845 26432468
A905817, A905817, GRISEL J GAPOL 1124 WESTACRE ROAD WEST SACRAMENTO CA 95691 023 60 5107 40739
A905823, A905823, JOHN R DICKEY 712LAKE GROVE DR LITTLE ELM TX 75068 24281904
A905844, A905844, CHARLES BRYAN WARD 4142 FISHER STRET LOS ANGELES CA 90063 25186772
A905951, A905951, ISMENIA H MOONEY 1302 LO MAR ST BENTONVILLE AR 72712 PO OX 2223 BENTONVILLE AR 72712 24895922
A905966, A905966, JESSICA JIMENEZ 2041 N WINERY AVE APT 104 FRESNO CA 93703 BUZON 5991 FRESNO CA 93755
A905978, A905978, JUAN M FERREIAR 6108 SPRINGLEAF CIR FORT WORTH TEXA 76133 22157858
A905986, A905986, HSAWNTHA STONE 7344 MONTERREY DR FORT WORTH TX 76112 028 63 1963 1936
A906014, A906014, MICHAEL M CORTES 4332 KRAG ST EL PASO TX 79938 24757929
A906079, A906079, VICTORIA L THOMAS 1915 ILLINOIS ST VALLEJO G CA 94590 OFFICE BOX 5745 VALLEJO CA 94591
A906150, A906150, GRISEL J J 10332 BEAR CREEK TRL KELLER TEXAS 76248 23605071
A906172, A906172, TORY L THOMAS 1515 WEBSTER ST SAN ANGELO TX 76901
A906178, A906178, MRATIN J BAILEY 238 CONNIE ST OUSTON TX 77076 22564036 25223
A906194, A906194, WON R DENHART 1712 E PINE AVE EL SEGUNDO CA 90245 026 80 6788 1959
A906197, A906197, JOSE SAMMARRO 9600 GOLF LAKES TRL APT 1144 DALLAS TX 75231 25667
A906202, A906202, E GARCIA 7360 NW 18TH ST 37 107 MARGATE FL 33063 022 88 6056
A906213, A906213, KARLA S LOR 395 APRICOT ST NIPOMO CALIFORNIA 93444
A906267, A906267, I P B 7626 RIMHURST SAN ANTONIO TX 78250 24230419
A906293, A906293, NILESH F MCKELVEY 30204 VIA AMANTE MENIFEE CA 92584 27414029
A906321, A906321, RANDALL M HERNANDEZ 6915 DRY CREEK RD RIO LINDA CA 95673 25930462
A906338, A906338, JO N BOSCH 215 BEACON WAY SANTA ROSA BEACH FL 32459 PO BOX 1319 SANTA ROSA BEACH FL 32O459
A906347, A906347, PAUL M G 6734 KINGSOOD DR N ST PETERSBURG FL 33702 27166396
A906362, A906362, GLADYS HAYSE 4329 SUMMER STAR N KELLER TX 7248 21582249 1902
A906433, A906433, HELIO E IVERA 401 WLKER ST ARVIN CAIFORNIA 93203 1951
A906565, A906565, JUNE LEDEZMA 5118 31ST AVE S APT 1 GULFPORT FL 33707
A906578, A906578, WILMA VILLARREAL 7500 IRA AVE BELL GARDENS CA 90201 25317183 1903
A906634, A906634, JO N BOSCH 1800 SE 18KTH TER HOMESTEAD FL 33035 206193626
A906733, A906733, ELIZABETH E J 3825 LITTLE ROCK DRV APT 96 ANTELOPE CA 95843 026 80 8105
A906816, A906816, D RUANO 32 SLOWCUM PATHS PALM COAST FL 32164 24706276 13830
